城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
武汉,2020-03-26 11:55:43,3407,50006,44068,2531,0,0
孝感,2020-03-26 11:55:43,7,3518,3383,128,0,0
鄂州,2020-03-26 11:55:43,5,1394,1330,59,0,0
荆门,2020-03-26 11:55:43,3,928,886,39,0,0
襄阳,2020-03-26 11:55:43,2,1175,1134,39,0,0
仙桃,2020-03-26 11:55:43,2,575,551,22,0,0
宜昌,2020-03-26 11:55:43,2,931,893,36,0,0
黄石,2020-03-26 11:55:43,1,1015,975,39,0,0
潜江,2020-03-26 11:55:43,1,198,188,9,0,0
荆州,2020-03-26 11:55:43,1,1580,1527,52,0,0
十堰,2020-03-26 11:55:43,0,672,664,8,0,0
随州,2020-03-26 11:55:43,0,1307,1262,45,0,0
恩施州,2020-03-26 11:55:43,0,252,245,7,0,0
咸宁,2020-03-26 11:55:43,0,836,821,15,0,0
神农架,2020-03-26 11:55:43,0,11,11,0,0,0
黄冈,2020-03-26 11:55:43,0,2907,2782,125,0,0
天门,2020-03-26 11:55:43,0,496,481,15,0,0
