省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-18 15:15:12,485,1021,532,4,0,0
黑龙江,2020-04-18 15:15:12,407,892,472,13,20,0
台湾,2020-04-18 15:15:12,214,398,178,6,3,0
湖北,2020-04-18 15:15:12,122,68128,63494,4512,0,0
上海,2020-04-18 15:15:12,109,628,512,7,0,0
广东,2020-04-18 15:15:12,89,1579,1482,8,2,0
内蒙古,2020-04-18 15:15:12,88,193,104,1,0,0
北京,2020-04-18 15:15:12,76,593,509,8,0,0
山西,2020-04-18 15:15:12,62,197,135,0,0,0
澳门,2020-04-18 15:15:12,28,45,17,0,0,0
浙江,2020-04-18 15:15:12,21,1268,1246,1,0,0
福建,2020-04-18 15:15:12,18,355,336,1,1,0
山东,2020-04-18 15:15:12,15,787,765,7,0,0
天津,2020-04-18 15:15:12,13,189,173,3,3,0
江苏,2020-04-18 15:15:12,10,653,643,0,0,0
河北,2020-04-18 15:15:12,6,328,316,6,0,0
四川,2020-04-18 15:15:12,5,561,553,3,1,0
云南,2020-04-18 15:15:12,5,184,177,2,0,0
吉林,2020-04-18 15:15:12,4,102,97,1,0,0
重庆,2020-04-18 15:15:12,3,579,570,6,0,0
辽宁,2020-04-18 15:15:12,2,146,142,2,0,0
安徽,2020-04-18 15:15:12,1,991,984,6,0,0
贵州,2020-04-18 15:15:12,1,147,144,2,0,0
陕西,2020-04-18 15:15:12,1,256,252,3,0,0
湖南,2020-04-18 15:15:12,0,1019,1015,4,0,0
海南,2020-04-18 15:15:12,0,168,162,6,0,0
广西,2020-04-18 15:15:12,0,254,252,2,0,0
甘肃,2020-04-18 15:15:12,0,139,137,2,0,0
江西,2020-04-18 15:15:12,0,937,936,1,0,0
青海,2020-04-18 15:15:12,0,18,18,0,0,0
西藏,2020-04-18 15:15:12,0,1,1,0,0,0
河南,2020-04-18 15:15:12,0,1276,1254,22,0,0
宁夏,2020-04-18 15:15:12,0,75,75,0,0,0
新疆,2020-04-18 15:15:12,0,76,73,3,0,0
