省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-16 17:04:23,554,1017,459,4,1,0
黑龙江,2020-04-16 17:04:23,377,861,471,13,20,0
台湾,2020-04-16 17:04:23,234,395,155,6,2,0
湖北,2020-04-16 17:04:23,146,67803,64435,3222,0,0
上海,2020-04-16 17:04:23,132,628,489,7,6,0
内蒙古,2020-04-16 17:04:23,98,193,94,1,3,0
广东,2020-04-16 17:04:23,92,1571,1471,8,5,0
北京,2020-04-16 17:04:23,82,593,503,8,3,0
山西,2020-04-16 17:04:23,59,194,135,0,8,0
澳门,2020-04-16 17:04:23,29,45,16,0,0,0
浙江,2020-04-16 17:04:23,23,1268,1244,1,0,0
福建,2020-04-16 17:04:23,19,353,333,1,0,0
山东,2020-04-16 17:04:23,16,784,761,7,0,0
江苏,2020-04-16 17:04:23,11,653,642,0,0,0
天津,2020-04-16 17:04:23,11,185,171,3,0,0
河北,2020-04-16 17:04:23,7,328,315,6,1,0
云南,2020-04-16 17:04:23,6,184,176,2,0,0
吉林,2020-04-16 17:04:23,5,102,96,1,0,0
四川,2020-04-16 17:04:23,5,560,552,3,0,0
辽宁,2020-04-16 17:04:23,5,145,138,2,0,0
重庆,2020-04-16 17:04:23,3,579,570,6,0,0
陕西,2020-04-16 17:04:23,2,256,251,3,0,0
贵州,2020-04-16 17:04:23,1,147,144,2,0,0
安徽,2020-04-16 17:04:23,1,991,984,6,0,0
甘肃,2020-04-16 17:04:23,1,139,136,2,0,0
湖南,2020-04-16 17:04:23,1,1019,1014,4,0,0
青海,2020-04-16 17:04:23,0,18,18,0,0,0
西藏,2020-04-16 17:04:23,0,1,1,0,0,0
河南,2020-04-16 17:04:23,0,1276,1254,22,0,0
新疆,2020-04-16 17:04:23,0,76,73,3,0,0
宁夏,2020-04-16 17:04:23,0,75,75,0,0,0
广西,2020-04-16 17:04:23,0,254,252,2,0,0
海南,2020-04-16 17:04:23,0,168,162,6,0,0
江西,2020-04-16 17:04:23,0,937,936,1,0,0
