省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-03-29 10:18:13,2054,67801,62565,3182,0,0
香港,2020-03-29 10:18:13,466,582,112,4,64,0
台湾,2020-03-29 10:18:13,251,283,30,2,16,0
北京,2020-03-29 10:18:13,157,576,411,8,4,0
上海,2020-03-29 10:18:13,153,492,334,5,7,0
广东,2020-03-29 10:18:13,118,1475,1349,8,8,0
福建,2020-03-29 10:18:13,42,338,295,1,1,0
天津,2020-03-29 10:18:13,28,164,133,3,8,0
浙江,2020-03-29 10:18:13,28,1254,1225,1,3,0
澳门,2020-03-29 10:18:13,27,37,10,0,3,0
内蒙古,2020-03-29 10:18:13,20,95,74,1,1,0
山东,2020-03-29 10:18:13,13,772,752,7,0,0
江苏,2020-03-29 10:18:13,13,644,631,0,3,0
四川,2020-03-29 10:18:13,11,550,536,3,2,0
甘肃,2020-03-29 10:18:13,9,136,125,2,0,0
辽宁,2020-03-29 10:18:13,8,134,124,2,3,0
陕西,2020-03-29 10:18:13,8,253,242,3,0,0
云南,2020-03-29 10:18:13,6,180,172,2,0,0
吉林,2020-03-29 10:18:13,5,98,92,1,1,0
重庆,2020-03-29 10:18:13,3,579,570,6,1,0
河南,2020-03-29 10:18:13,3,1276,1251,22,1,0
河北,2020-03-29 10:18:13,3,319,310,6,0,0
山西,2020-03-29 10:18:13,3,136,133,0,1,0
广西,2020-03-29 10:18:13,2,254,250,2,0,0
黑龙江,2020-03-29 10:18:13,2,484,469,13,0,0
江西,2020-03-29 10:18:13,2,937,934,1,1,0
贵州,2020-03-29 10:18:13,1,147,144,2,1,0
海南,2020-03-29 10:18:13,0,168,162,6,0,0
西藏,2020-03-29 10:18:13,0,1,1,0,0,0
青海,2020-03-29 10:18:13,0,18,18,0,0,0
安徽,2020-03-29 10:18:13,0,990,984,6,0,0
湖南,2020-03-29 10:18:13,0,1018,1014,4,0,0
新疆,2020-03-29 10:18:13,0,76,73,3,0,0
宁夏,2020-03-29 10:18:13,0,75,75,0,0,0
