省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-08 09:32:16,695,935,236,4,21,0
湖北,2020-04-08 09:32:16,448,67803,64142,3213,0,0
台湾,2020-04-08 09:32:16,314,376,57,5,3,0
上海,2020-04-08 09:32:16,130,543,406,7,5,0
北京,2020-04-08 09:32:16,125,588,455,8,1,0
广东,2020-04-08 09:32:16,117,1536,1411,8,3,0
黑龙江,2020-04-08 09:32:16,86,569,470,13,25,0
内蒙古,2020-04-08 09:32:16,49,124,74,1,3,0
福建,2020-04-08 09:32:16,43,351,307,1,0,0
澳门,2020-04-08 09:32:16,34,44,10,0,0,0
浙江,2020-04-08 09:32:16,33,1266,1232,1,1,0
山西,2020-04-08 09:32:16,29,163,134,0,25,0
天津,2020-04-08 09:32:16,25,180,152,3,0,0
山东,2020-04-08 09:32:16,21,783,755,7,2,0
江苏,2020-04-08 09:32:16,18,651,633,0,0,0
四川,2020-04-08 09:32:16,16,560,541,3,0,0
辽宁,2020-04-08 09:32:16,11,144,131,2,0,0
云南,2020-04-08 09:32:16,9,184,173,2,0,0
河北,2020-04-08 09:32:16,9,327,312,6,0,0
陕西,2020-04-08 09:32:16,7,256,246,3,0,0
吉林,2020-04-08 09:32:16,5,98,92,1,0,0
甘肃,2020-04-08 09:32:16,4,139,133,2,0,0
重庆,2020-04-08 09:32:16,3,579,570,6,0,0
河南,2020-04-08 09:32:16,2,1276,1252,22,0,0
湖南,2020-04-08 09:32:16,1,1019,1014,4,0,0
江西,2020-04-08 09:32:16,1,937,935,1,0,0
贵州,2020-04-08 09:32:16,1,147,144,2,0,0
广西,2020-04-08 09:32:16,0,254,252,2,0,0
海南,2020-04-08 09:32:16,0,168,162,6,0,0
西藏,2020-04-08 09:32:16,0,1,1,0,0,0
新疆,2020-04-08 09:32:16,0,76,73,3,0,0
安徽,2020-04-08 09:32:16,0,990,984,6,0,0
青海,2020-04-08 09:32:16,0,18,18,0,0,0
宁夏,2020-04-08 09:32:16,0,75,75,0,0,0
