今日新增确诊,今日治愈,更新日期,现有确诊,省份,累计死亡,累计治愈,累计确诊
13,0,2020-05-30 09:19:23,40,香港,4,1035,1079
0,0,2020-05-30 09:19:23,25,内蒙古,1,206,232
1,0,2020-05-30 09:19:23,15,台湾,7,420,442
0,0,2020-05-30 09:19:23,11,吉林,2,142,155
1,0,2020-05-30 09:19:23,8,上海,7,657,672
0,0,2020-05-30 09:19:23,4,湖北,4512,63619,68135
0,0,2020-05-30 09:19:23,3,四川,3,558,564
2,0,2020-05-30 09:19:23,3,山东,7,780,790
0,0,2020-05-30 09:19:23,3,北京,9,581,593
1,0,2020-05-30 09:19:23,2,广东,8,1583,1593
0,0,2020-05-30 09:19:23,2,福建,1,355,358
0,0,2020-05-30 09:19:23,1,海南,6,162,169
0,0,2020-05-30 09:19:23,1,天津,3,188,192
0,0,2020-05-30 09:19:23,0,江苏,0,653,653
0,0,2020-05-30 09:19:23,0,江西,1,936,937
0,0,2020-05-30 09:19:23,0,新疆,3,73,76
0,0,2020-05-30 09:19:23,0,宁夏,0,75,75
0,0,2020-05-30 09:19:23,0,辽宁,2,147,149
0,0,2020-05-30 09:19:23,0,贵州,2,145,147
0,0,2020-05-30 09:19:23,0,河南,22,1254,1276
0,0,2020-05-30 09:19:23,0,广西,2,252,254
0,0,2020-05-30 09:19:23,0,云南,2,183,185
0,0,2020-05-30 09:19:23,0,河北,6,322,328
0,0,2020-05-30 09:19:23,0,安徽,6,985,991
0,0,2020-05-30 09:19:23,0,湖南,4,1015,1019
0,0,2020-05-30 09:19:23,0,黑龙江,13,932,945
0,0,2020-05-30 09:19:23,0,澳门,0,45,45
0,0,2020-05-30 09:19:23,0,西藏,0,1,1
0,0,2020-05-30 09:19:23,0,青海,0,18,18
0,0,2020-05-30 09:19:23,0,重庆,6,573,579
0,0,2020-05-30 09:19:23,0,陕西,3,305,308
0,0,2020-05-30 09:19:23,0,浙江,1,1267,1268
0,0,2020-05-30 09:19:23,0,山西,0,198,198
0,0,2020-05-30 09:19:23,0,甘肃,2,137,139
