省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-03-27 08:30:25,2896,67801,61731,3174,0,0
香港,2020-03-27 08:30:25,339,453,110,4,43,0
台湾,2020-03-27 08:30:25,221,252,29,2,17,0
北京,2020-03-27 08:30:25,152,566,406,8,0,0
上海,2020-03-27 08:30:25,132,468,331,5,17,0
广东,2020-03-27 08:30:25,104,1448,1336,8,0,0
福建,2020-03-27 08:30:25,32,328,295,1,0,0
澳门,2020-03-27 08:30:25,23,33,10,0,3,0
浙江,2020-03-27 08:30:25,20,1243,1222,1,0,0
天津,2020-03-27 08:30:25,16,152,133,3,1,0
内蒙古,2020-03-27 08:30:25,14,89,74,1,0,0
山东,2020-03-27 08:30:25,12,771,752,7,0,0
甘肃,2020-03-27 08:30:25,11,136,123,2,0,0
江苏,2020-03-27 08:30:25,9,640,631,0,0,0
陕西,2020-03-27 08:30:25,8,253,242,3,0,0
四川,2020-03-27 08:30:25,8,547,536,3,0,0
云南,2020-03-27 08:30:25,6,180,172,2,2,0
河北,2020-03-27 08:30:25,3,319,310,6,0,0
河南,2020-03-27 08:30:25,3,1275,1250,22,0,0
吉林,2020-03-27 08:30:25,2,95,92,1,0,0
山西,2020-03-27 08:30:25,2,135,133,0,0,0
广西,2020-03-27 08:30:25,2,254,250,2,0,0
辽宁,2020-03-27 08:30:25,2,128,124,2,0,0
重庆,2020-03-27 08:30:25,2,578,570,6,0,0
黑龙江,2020-03-27 08:30:25,2,484,469,13,0,0
江西,2020-03-27 08:30:25,1,936,934,1,0,0
宁夏,2020-03-27 08:30:25,0,75,75,0,0,0
西藏,2020-03-27 08:30:25,0,1,1,0,0,0
青海,2020-03-27 08:30:25,0,18,18,0,0,0
安徽,2020-03-27 08:30:25,0,990,984,6,0,0
海南,2020-03-27 08:30:25,0,168,162,6,0,0
新疆,2020-03-27 08:30:25,0,76,73,3,0,0
贵州,2020-03-27 08:30:25,0,146,144,2,0,0
湖南,2020-03-27 08:30:25,0,1018,1014,4,0,0
