省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-06 09:23:51,700,890,186,4,28,0
湖北,2020-04-06 09:23:51,577,67803,64014,3212,0,0
台湾,2020-04-06 09:23:51,304,363,54,5,8,0
上海,2020-04-06 09:23:51,147,536,383,6,5,0
北京,2020-04-06 09:23:51,137,586,441,8,0,0
广东,2020-04-06 09:23:51,129,1532,1395,8,8,0
福建,2020-04-06 09:23:51,46,350,303,1,0,0
内蒙古,2020-04-06 09:23:51,43,118,74,1,1,0
黑龙江,2020-04-06 09:23:51,42,524,469,13,20,0
澳门,2020-04-06 09:23:51,34,44,10,0,0,0
天津,2020-04-06 09:23:51,33,180,144,3,0,0
浙江,2020-04-06 09:23:51,33,1264,1230,1,1,0
江苏,2020-04-06 09:23:51,18,651,633,0,0,0
山东,2020-04-06 09:23:51,18,780,755,7,1,0
四川,2020-04-06 09:23:51,16,559,540,3,1,0
辽宁,2020-04-06 09:23:51,12,142,128,2,0,0
河北,2020-04-06 09:23:51,11,327,310,6,0,0
云南,2020-04-06 09:23:51,10,184,172,2,0,0
陕西,2020-04-06 09:23:51,8,256,245,3,0,0
甘肃,2020-04-06 09:23:51,6,139,131,2,0,0
山西,2020-04-06 09:23:51,5,138,133,0,0,0
吉林,2020-04-06 09:23:51,5,98,92,1,0,0
河南,2020-04-06 09:23:51,3,1276,1251,22,0,0
重庆,2020-04-06 09:23:51,3,579,570,6,0,0
湖南,2020-04-06 09:23:51,1,1019,1014,4,0,0
江西,2020-04-06 09:23:51,1,937,935,1,0,0
贵州,2020-04-06 09:23:51,1,147,144,2,0,0
广西,2020-04-06 09:23:51,0,254,252,2,0,0
安徽,2020-04-06 09:23:51,0,990,984,6,0,0
新疆,2020-04-06 09:23:51,0,76,73,3,0,0
青海,2020-04-06 09:23:51,0,18,18,0,0,0
海南,2020-04-06 09:23:51,0,168,162,6,0,0
宁夏,2020-04-06 09:23:51,0,75,75,0,0,0
西藏,2020-04-06 09:23:51,0,1,1,0,0,0
