今日新增确诊,今日治愈,更新日期,现有确诊,省份,累计死亡,累计治愈,累计确诊
0,0,2020-05-04 21:05:20,274,黑龙江,13,657,944
0,0,2020-05-04 21:05:20,136,香港,4,900,1040
0,0,2020-05-04 21:05:20,98,台湾,6,334,438
0,0,2020-05-04 21:05:20,44,内蒙古,1,156,201
0,0,2020-05-04 21:05:20,40,陕西,3,263,306
0,0,2020-05-04 21:05:20,31,北京,9,553,593
0,0,2020-05-04 21:05:20,29,上海,7,619,655
0,0,2020-05-04 21:05:20,18,山西,0,180,198
0,0,2020-05-04 21:05:20,11,广东,8,1569,1588
0,0,2020-05-04 21:05:20,8,吉林,1,103,112
0,0,2020-05-04 21:05:20,8,山东,7,773,788
0,0,2020-05-04 21:05:20,6,澳门,0,39,45
0,0,2020-05-04 21:05:20,4,河北,6,318,328
0,0,2020-05-04 21:05:20,3,江苏,0,650,653
0,0,2020-05-04 21:05:20,2,福建,1,353,356
0,0,2020-05-04 21:05:20,2,云南,2,181,185
0,0,2020-05-04 21:05:20,2,浙江,1,1265,1268
0,0,2020-05-04 21:05:20,1,天津,3,186,190
0,0,2020-05-04 21:05:20,0,河南,22,1254,1276
0,0,2020-05-04 21:05:20,0,甘肃,2,137,139
0,0,2020-05-04 21:05:20,0,湖北,4512,63616,68128
0,0,2020-05-04 21:05:20,0,贵州,2,145,147
0,0,2020-05-04 21:05:20,0,海南,6,162,168
0,0,2020-05-04 21:05:20,0,新疆,3,73,76
0,0,2020-05-04 21:05:20,0,重庆,6,573,579
0,0,2020-05-04 21:05:20,0,江西,1,936,937
0,0,2020-05-04 21:05:20,0,辽宁,2,144,146
0,0,2020-05-04 21:05:20,0,广西,2,252,254
0,0,2020-05-04 21:05:20,0,安徽,6,985,991
0,0,2020-05-04 21:05:20,0,湖南,4,1015,1019
0,0,2020-05-04 21:05:20,0,宁夏,0,75,75
0,0,2020-05-04 21:05:20,0,青海,0,18,18
0,0,2020-05-04 21:05:20,0,四川,3,558,561
0,0,2020-05-04 21:05:20,0,西藏,0,1,1
