今日新增确诊,今日治愈,更新日期,现有确诊,省份,累计死亡,累计治愈,累计确诊
2,0,2020-04-25 09:33:07,409,黑龙江,13,508,930
2,0,2020-04-25 09:33:07,306,香港,4,725,1035
1,0,2020-04-25 09:33:07,158,台湾,6,264,428
0,0,2020-04-25 09:33:07,87,上海,7,547,641
3,0,2020-04-25 09:33:07,82,内蒙古,1,114,197
0,0,2020-04-25 09:33:07,60,北京,8,525,593
0,0,2020-04-25 09:33:07,48,山西,0,149,197
0,0,2020-04-25 09:33:07,43,广东,8,1534,1585
7,0,2020-04-25 09:33:07,30,陕西,3,253,286
0,0,2020-04-25 09:33:07,23,湖北,4512,63593,68128
0,0,2020-04-25 09:33:07,18,澳门,0,27,45
0,0,2020-04-25 09:33:07,13,山东,7,767,787
0,0,2020-04-25 09:33:07,11,浙江,1,1256,1268
1,0,2020-04-25 09:33:07,9,吉林,1,99,109
0,0,2020-04-25 09:33:07,7,江苏,0,646,653
1,0,2020-04-25 09:33:07,6,天津,3,181,190
0,0,2020-04-25 09:33:07,5,福建,1,349,355
0,0,2020-04-25 09:33:07,4,河北,6,318,328
1,0,2020-04-25 09:33:07,3,云南,2,180,185
0,0,2020-04-25 09:33:07,1,辽宁,2,143,146
0,0,2020-04-25 09:33:07,0,河南,22,1254,1276
0,0,2020-04-25 09:33:07,0,西藏,0,1,1
0,0,2020-04-25 09:33:07,0,贵州,2,145,147
0,0,2020-04-25 09:33:07,0,重庆,6,573,579
0,0,2020-04-25 09:33:07,0,宁夏,0,75,75
0,0,2020-04-25 09:33:07,0,甘肃,2,137,139
0,0,2020-04-25 09:33:07,0,安徽,6,985,991
0,0,2020-04-25 09:33:07,0,广西,2,252,254
0,0,2020-04-25 09:33:07,0,湖南,4,1015,1019
0,0,2020-04-25 09:33:07,0,四川,3,558,561
0,0,2020-04-25 09:33:07,0,青海,0,18,18
0,0,2020-04-25 09:33:07,0,江西,1,936,937
0,0,2020-04-25 09:33:07,0,新疆,3,73,76
0,0,2020-04-25 09:33:07,0,海南,6,162,168
