省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
黑龙江,2020-05-09 08:54:45,96,944,835,13,0,0
香港,2020-05-09 08:54:45,80,1044,960,4,0,0
台湾,2020-05-09 08:54:45,79,440,355,6,0,0
上海,2020-05-09 08:54:45,27,657,623,7,0,0
内蒙古,2020-05-09 08:54:45,25,201,175,1,0,0
北京,2020-05-09 08:54:45,21,593,563,9,0,0
陕西,2020-05-09 08:54:45,13,308,292,3,0,0
吉林,2020-05-09 08:54:45,7,113,105,1,0,0
广东,2020-05-09 08:54:45,6,1589,1575,8,0,0
山东,2020-05-09 08:54:45,5,788,776,7,0,0
澳门,2020-05-09 08:54:45,5,45,40,0,0,0
山西,2020-05-09 08:54:45,2,198,196,0,0,0
河北,2020-05-09 08:54:45,2,328,320,6,0,0
天津,2020-05-09 08:54:45,2,191,186,3,0,0
福建,2020-05-09 08:54:45,1,356,354,1,0,0
江苏,2020-05-09 08:54:45,1,653,652,0,0,0
云南,2020-05-09 08:54:45,1,185,182,2,0,0
青海,2020-05-09 08:54:45,0,18,18,0,0,0
甘肃,2020-05-09 08:54:45,0,139,137,2,0,0
浙江,2020-05-09 08:54:45,0,1268,1267,1,0,0
贵州,2020-05-09 08:54:45,0,147,145,2,0,0
广西,2020-05-09 08:54:45,0,254,252,2,0,0
海南,2020-05-09 08:54:45,0,168,162,6,0,0
新疆,2020-05-09 08:54:45,0,76,73,3,0,0
辽宁,2020-05-09 08:54:45,0,146,144,2,0,0
四川,2020-05-09 08:54:45,0,561,558,3,0,0
湖北,2020-05-09 08:54:45,0,68128,63616,4512,0,0
河南,2020-05-09 08:54:45,0,1276,1254,22,0,0
宁夏,2020-05-09 08:54:45,0,75,75,0,0,0
重庆,2020-05-09 08:54:45,0,579,573,6,0,0
湖南,2020-05-09 08:54:45,0,1019,1015,4,0,0
西藏,2020-05-09 08:54:45,0,1,1,0,0,0
安徽,2020-05-09 08:54:45,0,991,985,6,0,0
江西,2020-05-09 08:54:45,0,937,936,1,0,0
