省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-15 10:12:09,574,1012,434,4,3,0
黑龙江,2020-04-15 10:12:09,358,841,470,13,22,0
台湾,2020-04-15 10:12:09,263,393,124,6,0,0
湖北,2020-04-15 10:12:09,179,67803,64402,3222,0,0
上海,2020-04-15 10:12:09,147,622,468,7,4,0
广东,2020-04-15 10:12:09,96,1566,1462,8,2,0
内蒙古,2020-04-15 10:12:09,95,190,94,1,0,0
北京,2020-04-15 10:12:09,87,590,495,8,1,0
山西,2020-04-15 10:12:09,51,186,135,0,13,0
澳门,2020-04-15 10:12:09,30,45,15,0,0,0
浙江,2020-04-15 10:12:09,23,1268,1244,1,1,0
福建,2020-04-15 10:12:09,21,353,331,1,0,0
山东,2020-04-15 10:12:09,16,784,761,7,0,0
天津,2020-04-15 10:12:09,14,185,168,3,1,0
江苏,2020-04-15 10:12:09,11,653,642,0,0,0
四川,2020-04-15 10:12:09,7,560,550,3,0,0
河北,2020-04-15 10:12:09,7,327,314,6,0,0
云南,2020-04-15 10:12:09,6,184,176,2,0,0
吉林,2020-04-15 10:12:09,5,102,96,1,2,0
辽宁,2020-04-15 10:12:09,5,145,138,2,0,0
重庆,2020-04-15 10:12:09,3,579,570,6,0,0
陕西,2020-04-15 10:12:09,2,256,251,3,0,0
湖南,2020-04-15 10:12:09,1,1019,1014,4,0,0
贵州,2020-04-15 10:12:09,1,147,144,2,0,0
安徽,2020-04-15 10:12:09,1,991,984,6,0,0
甘肃,2020-04-15 10:12:09,1,139,136,2,0,0
新疆,2020-04-15 10:12:09,0,76,73,3,0,0
江西,2020-04-15 10:12:09,0,937,936,1,0,0
河南,2020-04-15 10:12:09,0,1276,1254,22,0,0
广西,2020-04-15 10:12:09,0,254,252,2,0,0
西藏,2020-04-15 10:12:09,0,1,1,0,0,0
青海,2020-04-15 10:12:09,0,18,18,0,0,0
海南,2020-04-15 10:12:09,0,168,162,6,0,0
宁夏,2020-04-15 10:12:09,0,75,75,0,0,0
