省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-12 08:41:32,660,1000,336,4,11,0
湖北,2020-04-12 08:41:32,303,67803,64281,3219,0,0
台湾,2020-04-12 08:41:32,280,385,99,6,3,0
黑龙江,2020-04-12 08:41:32,201,684,470,13,23,0
上海,2020-04-12 08:41:32,162,607,438,7,52,0
广东,2020-04-12 08:41:32,103,1548,1437,8,0,0
北京,2020-04-12 08:41:32,102,589,479,8,0,0
内蒙古,2020-04-12 08:41:32,71,155,83,1,0,0
山西,2020-04-12 08:41:32,37,172,135,0,0,0
澳门,2020-04-12 08:41:32,35,45,10,0,0,0
浙江,2020-04-12 08:41:32,30,1267,1236,1,0,0
福建,2020-04-12 08:41:32,30,352,321,1,1,0
山东,2020-04-12 08:41:32,20,784,757,7,0,0
天津,2020-04-12 08:41:32,19,183,161,3,0,0
江苏,2020-04-12 08:41:32,16,652,636,0,0,0
四川,2020-04-12 08:41:32,10,560,547,3,0,0
云南,2020-04-12 08:41:32,8,184,174,2,0,0
河北,2020-04-12 08:41:32,8,327,313,6,0,0
辽宁,2020-04-12 08:41:32,7,145,136,2,0,0
陕西,2020-04-12 08:41:32,5,256,248,3,0,0
重庆,2020-04-12 08:41:32,3,579,570,6,0,0
甘肃,2020-04-12 08:41:32,2,139,135,2,0,0
吉林,2020-04-12 08:41:32,2,99,96,1,1,0
贵州,2020-04-12 08:41:32,1,147,144,2,0,0
安徽,2020-04-12 08:41:32,1,991,984,6,0,0
湖南,2020-04-12 08:41:32,1,1019,1014,4,0,0
河南,2020-04-12 08:41:32,1,1276,1253,22,0,0
青海,2020-04-12 08:41:32,0,18,18,0,0,0
西藏,2020-04-12 08:41:32,0,1,1,0,0,0
海南,2020-04-12 08:41:32,0,168,162,6,0,0
新疆,2020-04-12 08:41:32,0,76,73,3,0,0
江西,2020-04-12 08:41:32,0,937,936,1,0,0
广西,2020-04-12 08:41:32,0,254,252,2,0,0
宁夏,2020-04-12 08:41:32,0,75,75,0,0,0
