省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
黑龙江,2020-04-29 09:38:43,339,939,587,13,0,0
香港,2020-04-29 09:38:43,222,1037,811,4,0,0
台湾,2020-04-29 09:38:43,116,429,307,6,0,0
上海,2020-04-29 09:38:43,54,645,584,7,1,0
内蒙古,2020-04-29 09:38:43,52,199,146,1,0,0
陕西,2020-04-29 09:38:43,50,306,253,3,0,0
北京,2020-04-29 09:38:43,46,593,538,9,0,0
山西,2020-04-29 09:38:43,37,197,160,0,0,0
广东,2020-04-29 09:38:43,26,1588,1554,8,1,0
澳门,2020-04-29 09:38:43,12,45,33,0,0,0
吉林,2020-04-29 09:38:43,10,110,99,1,0,0
山东,2020-04-29 09:38:43,9,787,771,7,0,0
江苏,2020-04-29 09:38:43,6,653,647,0,0,0
浙江,2020-04-29 09:38:43,5,1268,1262,1,0,0
天津,2020-04-29 09:38:43,4,190,183,3,0,0
河北,2020-04-29 09:38:43,4,328,318,6,0,0
云南,2020-04-29 09:38:43,2,185,181,2,0,0
福建,2020-04-29 09:38:43,2,355,352,1,0,0
辽宁,2020-04-29 09:38:43,1,146,143,2,0,0
广西,2020-04-29 09:38:43,0,254,252,2,0,0
湖北,2020-04-29 09:38:43,0,68128,63616,4512,0,0
海南,2020-04-29 09:38:43,0,168,162,6,0,0
青海,2020-04-29 09:38:43,0,18,18,0,0,0
重庆,2020-04-29 09:38:43,0,579,573,6,0,0
西藏,2020-04-29 09:38:43,0,1,1,0,0,0
新疆,2020-04-29 09:38:43,0,76,73,3,0,0
宁夏,2020-04-29 09:38:43,0,75,75,0,0,0
安徽,2020-04-29 09:38:43,0,991,985,6,0,0
湖南,2020-04-29 09:38:43,0,1019,1015,4,0,0
江西,2020-04-29 09:38:43,0,937,936,1,0,0
河南,2020-04-29 09:38:43,0,1276,1254,22,0,0
贵州,2020-04-29 09:38:43,0,147,145,2,0,0
甘肃,2020-04-29 09:38:43,0,139,137,2,0,0
四川,2020-04-29 09:38:43,0,561,558,3,0,0
