省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-04-01 08:14:42,1461,67801,63153,3187,0,0
香港,2020-04-01 08:14:42,582,714,128,4,0,0
台湾,2020-04-01 08:14:42,278,322,39,5,0,0
上海,2020-04-01 08:14:42,169,516,341,6,7,0
北京,2020-04-01 08:14:42,154,580,418,8,0,0
广东,2020-04-01 08:14:42,130,1494,1356,8,0,0
福建,2020-04-01 08:14:42,47,343,295,1,0,0
天津,2020-04-01 08:14:42,36,174,135,3,0,0
内蒙古,2020-04-01 08:14:42,32,107,74,1,0,0
澳门,2020-04-01 08:14:42,31,41,10,0,0,0
浙江,2020-04-01 08:14:42,30,1257,1226,1,0,0
江苏,2020-04-01 08:14:42,15,646,631,0,0,0
辽宁,2020-04-01 08:14:42,14,140,124,2,1,0
山东,2020-04-01 08:14:42,14,774,753,7,0,0
四川,2020-04-01 08:14:42,11,550,536,3,0,0
甘肃,2020-04-01 08:14:42,11,138,125,2,0,0
云南,2020-04-01 08:14:42,8,182,172,2,1,0
陕西,2020-04-01 08:14:42,8,253,242,3,0,0
河北,2020-04-01 08:14:42,7,323,310,6,2,0
吉林,2020-04-01 08:14:42,5,98,92,1,0,0
山西,2020-04-01 08:14:42,4,137,133,0,1,0
重庆,2020-04-01 08:14:42,3,579,570,6,0,0
河南,2020-04-01 08:14:42,3,1276,1251,22,0,0
黑龙江,2020-04-01 08:14:42,2,484,469,13,0,0
广西,2020-04-01 08:14:42,2,254,250,2,0,0
贵州,2020-04-01 08:14:42,1,147,144,2,0,0
江西,2020-04-01 08:14:42,1,937,935,1,0,0
新疆,2020-04-01 08:14:42,0,76,73,3,0,0
湖南,2020-04-01 08:14:42,0,1018,1014,4,0,0
海南,2020-04-01 08:14:42,0,168,162,6,0,0
青海,2020-04-01 08:14:42,0,18,18,0,0,0
宁夏,2020-04-01 08:14:42,0,75,75,0,0,0
安徽,2020-04-01 08:14:42,0,990,984,6,0,0
西藏,2020-04-01 08:14:42,0,1,1,0,0,0
