省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
黑龙江,2020-04-21 07:30:36,420,905,472,13,0,0
香港,2020-04-21 07:30:36,419,1025,602,4,0,0
台湾,2020-04-21 07:30:36,213,422,203,6,0,0
湖北,2020-04-21 07:30:36,105,68128,63511,4512,0,0
上海,2020-04-21 07:30:36,101,638,530,7,0,0
内蒙古,2020-04-21 07:30:36,89,194,104,1,0,0
广东,2020-04-21 07:30:36,79,1581,1494,8,0,0
北京,2020-04-21 07:30:36,71,593,514,8,0,0
山西,2020-04-21 07:30:36,57,197,140,0,0,0
澳门,2020-04-21 07:30:36,25,45,20,0,0,0
浙江,2020-04-21 07:30:36,18,1268,1249,1,0,0
福建,2020-04-21 07:30:36,15,355,339,1,0,0
山东,2020-04-21 07:30:36,15,787,765,7,0,0
天津,2020-04-21 07:30:36,12,189,174,3,0,0
江苏,2020-04-21 07:30:36,10,653,643,0,0,0
吉林,2020-04-21 07:30:36,8,106,97,1,2,0
河北,2020-04-21 07:30:36,5,328,317,6,0,0
四川,2020-04-21 07:30:36,4,561,554,3,0,0
云南,2020-04-21 07:30:36,4,184,178,2,0,0
重庆,2020-04-21 07:30:36,3,579,570,6,0,0
辽宁,2020-04-21 07:30:36,1,146,143,2,0,0
安徽,2020-04-21 07:30:36,1,991,984,6,0,0
陕西,2020-04-21 07:30:36,1,256,252,3,0,0
青海,2020-04-21 07:30:36,0,18,18,0,0,0
甘肃,2020-04-21 07:30:36,0,139,137,2,0,0
江西,2020-04-21 07:30:36,0,937,936,1,0,0
海南,2020-04-21 07:30:36,0,168,162,6,0,0
河南,2020-04-21 07:30:36,0,1276,1254,22,0,0
新疆,2020-04-21 07:30:36,0,76,73,3,0,0
贵州,2020-04-21 07:30:36,0,147,145,2,0,0
湖南,2020-04-21 07:30:36,0,1019,1015,4,0,0
宁夏,2020-04-21 07:30:36,0,75,75,0,0,0
西藏,2020-04-21 07:30:36,0,1,1,0,0,0
广西,2020-04-21 07:30:36,0,254,252,2,0,0
