省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-04-02 21:33:14,1132,67802,63471,3199,0,0
香港,2020-04-02 21:33:14,644,802,154,4,37,0
台湾,2020-04-02 21:33:14,289,339,45,5,17,0
上海,2020-04-02 21:33:14,173,522,343,6,6,0
北京,2020-04-02 21:33:14,150,582,424,8,2,0
广东,2020-04-02 21:33:14,132,1508,1368,8,7,0
福建,2020-04-02 21:33:14,45,345,299,1,0,0
内蒙古,2020-04-02 21:33:14,42,117,74,1,6,0
天津,2020-04-02 21:33:14,34,177,140,3,3,0
澳门,2020-04-02 21:33:14,31,41,10,0,0,0
浙江,2020-04-02 21:33:14,29,1258,1228,1,1,0
江苏,2020-04-02 21:33:14,16,647,631,0,1,0
山东,2020-04-02 21:33:14,15,775,753,7,1,0
四川,2020-04-02 21:33:14,14,554,537,3,2,0
辽宁,2020-04-02 21:33:14,14,140,124,2,0,0
陕西,2020-04-02 21:33:14,10,255,242,3,0,0
河北,2020-04-02 21:33:14,9,325,310,6,2,0
云南,2020-04-02 21:33:14,9,183,172,2,1,0
甘肃,2020-04-02 21:33:14,9,138,127,2,0,0
黑龙江,2020-04-02 21:33:14,6,488,469,13,4,0
吉林,2020-04-02 21:33:14,5,98,92,1,0,0
山西,2020-04-02 21:33:14,4,137,133,0,0,0
重庆,2020-04-02 21:33:14,3,579,570,6,0,0
河南,2020-04-02 21:33:14,3,1276,1251,22,0,0
贵州,2020-04-02 21:33:14,1,147,144,2,0,0
江西,2020-04-02 21:33:14,1,937,935,1,0,0
湖南,2020-04-02 21:33:14,1,1019,1014,4,1,0
安徽,2020-04-02 21:33:14,0,990,984,6,0,0
青海,2020-04-02 21:33:14,0,18,18,0,0,0
新疆,2020-04-02 21:33:14,0,76,73,3,0,0
宁夏,2020-04-02 21:33:14,0,75,75,0,0,0
广西,2020-04-02 21:33:14,0,254,252,2,0,0
西藏,2020-04-02 21:33:14,0,1,1,0,0,0
海南,2020-04-02 21:33:14,0,168,162,6,0,0
