今日新增确诊,今日治愈,更新日期,现有确诊,省份,累计死亡,累计治愈,累计确诊
3,0,2020-04-24 08:11:48,430,黑龙江,13,485,928
0,0,2020-04-24 08:11:48,332,香港,4,699,1035
0,0,2020-04-24 08:11:48,168,台湾,6,253,427
1,0,2020-04-24 08:11:48,101,上海,7,533,641
0,0,2020-04-24 08:11:48,85,内蒙古,1,108,194
0,0,2020-04-24 08:11:48,69,湖北,4512,63547,68128
0,0,2020-04-24 08:11:48,63,北京,8,522,593
0,0,2020-04-24 08:11:48,58,广东,8,1518,1584
0,0,2020-04-24 08:11:48,55,山西,0,142,197
0,0,2020-04-24 08:11:48,23,陕西,3,253,279
0,0,2020-04-24 08:11:48,18,澳门,0,27,45
0,0,2020-04-24 08:11:48,14,山东,7,766,787
0,0,2020-04-24 08:11:48,13,浙江,1,1254,1268
0,0,2020-04-24 08:11:48,12,福建,1,342,355
0,0,2020-04-24 08:11:48,8,江苏,0,645,653
1,0,2020-04-24 08:11:48,8,吉林,1,99,108
0,0,2020-04-24 08:11:48,7,天津,3,179,189
0,0,2020-04-24 08:11:48,5,河北,6,317,328
0,0,2020-04-24 08:11:48,2,云南,2,180,184
0,0,2020-04-24 08:11:48,1,安徽,6,984,991
0,0,2020-04-24 08:11:48,1,辽宁,2,143,146
0,0,2020-04-24 08:11:48,1,四川,3,557,561
0,0,2020-04-24 08:11:48,0,青海,0,18,18
0,0,2020-04-24 08:11:48,0,河南,22,1254,1276
0,0,2020-04-24 08:11:48,0,贵州,2,145,147
0,0,2020-04-24 08:11:48,0,重庆,6,573,579
0,0,2020-04-24 08:11:48,0,新疆,3,73,76
0,0,2020-04-24 08:11:48,0,甘肃,2,137,139
0,0,2020-04-24 08:11:48,0,海南,6,162,168
0,0,2020-04-24 08:11:48,0,宁夏,0,75,75
0,0,2020-04-24 08:11:48,0,湖南,4,1015,1019
0,0,2020-04-24 08:11:48,0,西藏,0,1,1
0,0,2020-04-24 08:11:48,0,江西,1,936,937
0,0,2020-04-24 08:11:48,0,广西,2,252,254
