省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
香港,2020-04-05 08:08:30,685,862,173,4,0,0
湖北,2020-04-05 08:08:30,648,67803,63945,3210,0,0
台湾,2020-04-05 08:08:30,300,355,50,5,0,0
上海,2020-04-05 08:08:30,167,529,356,6,0,0
北京,2020-04-05 08:08:30,139,585,438,8,0,0
广东,2020-04-05 08:08:30,130,1516,1378,8,0,0
福建,2020-04-05 08:08:30,48,350,301,1,0,0
内蒙古,2020-04-05 08:08:30,42,117,74,1,0,0
澳门,2020-04-05 08:08:30,33,43,10,0,0,0
天津,2020-04-05 08:08:30,33,180,144,3,0,0
浙江,2020-04-05 08:08:30,32,1262,1229,1,0,0
江苏,2020-04-05 08:08:30,19,651,632,0,0,0
四川,2020-04-05 08:08:30,16,557,538,3,0,0
山东,2020-04-05 08:08:30,16,778,755,7,0,0
辽宁,2020-04-05 08:08:30,14,141,125,2,0,0
河北,2020-04-05 08:08:30,10,326,310,6,0,0
云南,2020-04-05 08:08:30,10,184,172,2,0,0
黑龙江,2020-04-05 08:08:30,9,491,469,13,0,0
陕西,2020-04-05 08:08:30,8,256,245,3,0,0
吉林,2020-04-05 08:08:30,5,98,92,1,0,0
甘肃,2020-04-05 08:08:30,5,138,131,2,0,0
山西,2020-04-05 08:08:30,5,138,133,0,1,0
河南,2020-04-05 08:08:30,3,1276,1251,22,0,0
重庆,2020-04-05 08:08:30,3,579,570,6,0,0
江西,2020-04-05 08:08:30,1,937,935,1,0,0
湖南,2020-04-05 08:08:30,1,1019,1014,4,0,0
贵州,2020-04-05 08:08:30,1,147,144,2,0,0
新疆,2020-04-05 08:08:30,0,76,73,3,0,0
宁夏,2020-04-05 08:08:30,0,75,75,0,0,0
安徽,2020-04-05 08:08:30,0,990,984,6,0,0
海南,2020-04-05 08:08:30,0,168,162,6,0,0
广西,2020-04-05 08:08:30,0,254,252,2,0,0
西藏,2020-04-05 08:08:30,0,1,1,0,0,0
青海,2020-04-05 08:08:30,0,18,18,0,0,0
