省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-03-30 08:46:41,1733,67801,62882,3186,0,0
香港,2020-03-30 08:46:41,519,641,118,4,59,0
台湾,2020-03-30 08:46:41,256,298,39,3,15,0
上海,2020-03-30 08:46:41,159,498,334,5,6,0
北京,2020-03-30 08:46:41,157,577,412,8,1,0
广东,2020-03-30 08:46:41,125,1484,1351,8,9,0
福建,2020-03-30 08:46:41,44,340,295,1,2,0
天津,2020-03-30 08:46:41,30,166,133,3,0,0
澳门,2020-03-30 08:46:41,28,38,10,0,1,0
浙江,2020-03-30 08:46:41,28,1254,1225,1,0,0
内蒙古,2020-03-30 08:46:41,22,97,74,1,2,0
江苏,2020-03-30 08:46:41,14,645,631,0,1,0
山东,2020-03-30 08:46:41,13,773,753,7,1,0
四川,2020-03-30 08:46:41,11,550,536,3,0,0
甘肃,2020-03-30 08:46:41,11,138,125,2,0,0
辽宁,2020-03-30 08:46:41,10,136,124,2,2,0
陕西,2020-03-30 08:46:41,8,253,242,3,0,0
云南,2020-03-30 08:46:41,6,180,172,2,0,0
吉林,2020-03-30 08:46:41,5,98,92,1,0,0
河南,2020-03-30 08:46:41,3,1276,1251,22,0,0
山西,2020-03-30 08:46:41,3,136,133,0,0,0
河北,2020-03-30 08:46:41,3,319,310,6,0,0
重庆,2020-03-30 08:46:41,3,579,570,6,0,0
黑龙江,2020-03-30 08:46:41,2,484,469,13,0,0
江西,2020-03-30 08:46:41,2,937,934,1,0,0
广西,2020-03-30 08:46:41,2,254,250,2,0,0
贵州,2020-03-30 08:46:41,1,147,144,2,0,0
海南,2020-03-30 08:46:41,0,168,162,6,0,0
宁夏,2020-03-30 08:46:41,0,75,75,0,0,0
安徽,2020-03-30 08:46:41,0,990,984,6,0,0
青海,2020-03-30 08:46:41,0,18,18,0,0,0
湖南,2020-03-30 08:46:41,0,1018,1014,4,0,0
西藏,2020-03-30 08:46:41,0,1,1,0,0,0
新疆,2020-03-30 08:46:41,0,76,73,3,0,0
