省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-03-28 09:44:00,2526,67801,62098,3177,0,0
香港,2020-03-28 09:44:00,404,519,111,4,65,0
台湾,2020-03-28 09:44:00,235,267,30,2,15,0
北京,2020-03-28 09:44:00,155,572,409,8,3,0
上海,2020-03-28 09:44:00,146,485,334,5,17,0
广东,2020-03-28 09:44:00,118,1467,1341,8,11,0
福建,2020-03-28 09:44:00,41,337,295,1,6,0
澳门,2020-03-28 09:44:00,25,35,10,0,2,0
浙江,2020-03-28 09:44:00,25,1251,1225,1,4,0
天津,2020-03-28 09:44:00,20,156,133,3,0,0
内蒙古,2020-03-28 09:44:00,19,94,74,1,2,0
山东,2020-03-28 09:44:00,13,772,752,7,0,0
江苏,2020-03-28 09:44:00,10,641,631,0,0,0
甘肃,2020-03-28 09:44:00,9,136,125,2,0,0
四川,2020-03-28 09:44:00,9,548,536,3,0,0
陕西,2020-03-28 09:44:00,8,253,242,3,0,0
云南,2020-03-28 09:44:00,6,180,172,2,0,0
辽宁,2020-03-28 09:44:00,5,131,124,2,3,0
吉林,2020-03-28 09:44:00,4,97,92,1,2,0
河北,2020-03-28 09:44:00,3,319,310,6,0,0
黑龙江,2020-03-28 09:44:00,2,484,469,13,0,0
河南,2020-03-28 09:44:00,2,1275,1251,22,0,0
广西,2020-03-28 09:44:00,2,254,250,2,0,0
山西,2020-03-28 09:44:00,2,135,133,0,0,0
重庆,2020-03-28 09:44:00,2,578,570,6,0,0
江西,2020-03-28 09:44:00,1,936,934,1,0,0
青海,2020-03-28 09:44:00,0,18,18,0,0,0
安徽,2020-03-28 09:44:00,0,990,984,6,0,0
新疆,2020-03-28 09:44:00,0,76,73,3,0,0
海南,2020-03-28 09:44:00,0,168,162,6,0,0
宁夏,2020-03-28 09:44:00,0,75,75,0,0,0
湖南,2020-03-28 09:44:00,0,1018,1014,4,0,0
贵州,2020-03-28 09:44:00,0,146,144,2,0,0
西藏,2020-03-28 09:44:00,0,1,1,0,0,0
